h,beta,se,lb,ub,nobs,shock,outcome,outcome_label,specification
2,-4.69272890388357,2.78061658992652,-9.26643618698565,-0.119021620781488,135,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
3,-3.91935415380331,2.94140801405281,-8.7575397940622,0.918831486455577,134,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
4,-3.99898867960869,3.44586514096205,-9.66693245470577,1.66895509548839,133,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
5,-1.14066817633742,3.11324076211466,-6.26149353547489,3.98015718280004,132,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
6,2.90323194801978,3.29614848820068,-2.51844984776773,8.32491374380728,131,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
7,5.25728290845065,4.06203899399009,-1.42417666363225,11.9387424805336,130,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
8,3.53428454664406,4.47856051189496,-3.832291954868,10.9008610481561,129,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
9,0.555596964993026,2.73974086880028,-3.95087573996029,5.06206966994634,128,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
10,-3.42911764445667,3.13791763949139,-8.59053285484909,1.73229756593574,127,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
11,-2.13132244113037,2.62304326774825,-6.44584467373673,2.18319979147598,126,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
12,-0.796063302106815,2.40907718262798,-4.75864264355848,3.16651603934485,125,Israel,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
0,-1.91143255647148,0.753050964952899,-3.15009116745356,-0.672773945489395,137,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
1,-3.43516803430135,1.17851124295613,-5.37364652668082,-1.49668954192188,136,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
2,-2.74936478709596,1.31068422834888,-4.9052484938837,-0.593481080308216,135,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
3,-1.95279091054336,1.49241885042186,-4.4076014695905,0.502019648503776,134,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
4,-2.35291545328942,1.59866619754716,-4.98248734660959,0.276656440030755,133,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
5,-1.77401109069201,1.55805763676462,-4.33678784552374,0.788765664139713,132,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
6,0.454895866416635,1.58510020436636,-2.15236195381689,3.06215368665016,131,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
7,2.223981727547,2.09289226564913,-1.21851970642465,5.66648316151865,130,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
8,1.17339056323558,2.30618861025047,-2.61995213676909,4.96673326324025,129,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
9,-0.527205533830375,1.58175584791187,-3.12896237721992,2.07455130955917,128,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
10,-1.94247516232748,1.98844167838526,-5.21317066900094,1.32822034434598,127,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
11,-2.04382054257474,1.86822013692405,-5.11676921073804,1.02912812558856,126,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
12,-2.14409476067596,1.34520751153704,-4.35676421503003,0.0685746936781162,125,Israel,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
0,0.154325252516382,0.171161237145824,-0.127209929196428,0.435860434229193,137,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
1,0.0216651742451439,0.254520441807295,-0.396983697594877,0.440314046085165,136,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
2,-0.164523174881984,0.315611705480137,-0.683658233349326,0.354611883585359,135,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
3,-0.301965629852139,0.360321912786669,-0.894642434969383,0.290711175265106,134,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
4,-0.544692180571485,0.355608736634898,-1.12961650080103,0.0402321396580579,133,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
5,-0.790635786397992,0.356494995022163,-1.37701787195024,-0.20425370084574,132,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
6,-0.704961739652776,0.381242302345574,-1.33204952341322,-0.0778739558923297,131,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
7,-0.602749491891434,0.372168137826461,-1.21491160323106,0.00941261944819605,130,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
8,-0.450651585460723,0.344086630808917,-1.01662372813228,0.115320557210837,129,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
9,-0.141268990579021,0.384934601186277,-0.774430065479386,0.491892084321345,128,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
