h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
6,-1.54412366546484,0.402042917266719,-2.20542541612115,-0.882821914808526,-1.45939419532006,0.729611668286823,-2.65949859416776,-0.259289796472366,134,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,-1.43006495886661,0.421314488236116,-2.12306562292899,-0.737064294804229,-1.64846420609984,0.820584789564626,-2.99820607343643,-0.298722338763257,133,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,-1.07536953289052,0.404766960131222,-1.74115193533248,-0.409587130448559,-1.84062385511778,0.910307203298213,-3.3379459601029,-0.343301750132664,132,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,-0.789845745275403,0.2796293914381,-1.2497951639846,-0.32989632656621,-2.07755176605721,0.55638404131593,-2.99272207439363,-1.16238145772078,131,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,-0.492373212085149,0.412008977417131,-1.17006767292628,0.185321248755986,-1.35532021736701,0.781100539463793,-2.64011627271778,-0.0705241620162373,130,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,-0.046224995374671,0.29563265714778,-0.532497443729498,0.440047452980156,-1.22309133473801,0.677920336645893,-2.33817105925417,-0.108011610221845,129,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,0.418495703627808,0.340533923723494,-0.141632755908796,0.978624163164413,-0.378229695317443,0.574080600984763,-1.32250825400971,0.566048863374826,128,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,-0.0880490269965927,0.0948589199234835,-0.244078065481434,0.0679800114882484,-0.273652568027444,0.217058225564536,-0.630681577606922,0.0833764415520334,140,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-0.298466771419449,0.116606100392597,-0.49026673857488,-0.106666804264018,-0.150579318199953,0.243391155181454,-0.550922142568077,0.249763506168171,139,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.337909524390654,0.177221856599936,-0.629413537994132,-0.0464055107871764,-0.402384695598102,0.233399245762921,-0.78629229151898,-0.0184770996772232,138,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,-0.141334390156821,0.237623967031098,-0.532191034178521,0.249522253864878,-0.501663978733399,0.384821586377648,-1.13463916081589,0.131311203349094,137,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,0.0135600654537968,0.272544010031807,-0.434734937950919,0.461855068858513,-0.187766335304367,0.354639816595723,-0.771096923893247,0.395564253284512,136,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,0.195134321312729,0.245123171999738,-0.20805741720089,0.598326059826348,0.0705503719843382,0.345571827633532,-0.497864702070927,0.638965446039603,135,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,0.428588683400493,0.211203680227194,0.0811895439532941,0.775987822847691,0.285586504377644,0.381927015886591,-0.342627532934168,0.913800541689456,134,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,0.413186943091548,0.213938112519174,0.0612900627712324,0.765083823411863,0.241571878648731,0.416187932277802,-0.442996351251847,0.926140108549308,133,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,0.411374286255977,0.184800008551798,0.107405321928889,0.715343250583065,0.53847404319272,0.346456164755623,-0.0313956359852633,1.1083437223707,132,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,0.592068899287629,0.199456577532773,0.263992024313521,0.920145774261738,0.866964294050775,0.443072887512307,0.138174248022296,1.59575434007925,131,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,0.517153986136145,0.236408933081438,0.128295895113415,0.906012077158876,0.787196838957314,0.47155312347229,0.0115609735136235,1.56283270440101,130,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,0.504650531226223,0.2828566468114,0.0393927498111605,0.969908312641286,0.777481261704632,0.465842087069203,0.0112392152022089,1.54372330820705,129,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,0.341770051648904,0.308157638778064,-0.165104158167996,0.848644261465804,0.75478303411475,0.358815598412235,0.164583895659622,1.34498217256988,128,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,-0.523398789158611,1.39833206652171,-2.8234503604594,1.77665278214217,1.65913261380448,2.46786835675462,-2.40014960364214,5.71841483125109,140,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-1.1212634884768,2.08769004006929,-4.55520802283524,2.31268104588163,3.91782166528552,2.49735472423341,-0.189961310654198,8.02560464122523,139,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.69954616743153,1.89956717515595,-3.82405612512476,2.4249637902617,3.42793952046002,3.31009933156499,-2.0166893706343,8.87256841155434,138,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,3.17078764435918,2.42241319290364,-0.813727481963467,7.15530277068182,6.26550129952365,4.37607269915471,-0.932497751484298,13.4635003505316,137,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,3.82607628744759,3.37475087504222,-1.72489492942326,9.37704750431843,5.39320691245505,4.22633131127123,-1.558489473588,12.3449032984981,136,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,7.26857727773644,3.99246868998872,0.701550672518296,13.8356038829546,9.81162356940802,6.09580196765957,-0.215078406274742,19.8383255450908,135,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,5.68460578314453,3.73977273734055,-0.466772967844305,11.8359845341334,4.29017377274137,4.90160244542343,-3.77224478748757,12.3525923329703,134,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,5.6537412550778,4.41360606981209,-1.60599469678765,12.9134772069433,6.40040870124864,5.69655351320246,-2.96958800606557,15.7704054085629,133,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
