h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
0,0.178771961547785,1.35266059082909,-2.04615671731177,2.40370064040734,2.24932693367132,2.3879291353331,-1.67846696548442,6.17712083282706,140,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
1,-0.973596652801806,2.04603159206661,-4.33901913786986,2.39182583226625,1.84621122443513,1.95689940124083,-1.37260185327502,5.06502430214528,139,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
2,-0.90033338795311,1.72866625951373,-3.7437363547029,1.94306957879668,1.83621209140734,2.61583193801365,-2.46644855932991,6.1388727421446,138,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
3,2.19668731629858,2.06063323947954,-1.1927527414761,5.58612737407327,1.85057856210399,3.75347160592275,-4.32333282255741,8.02448994676539,137,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
4,3.28895735770604,2.94477976013175,-1.55477431131995,8.13268902673203,1.33265231366377,3.31220577474114,-4.11544136812881,6.78074599545634,136,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
5,5.89838054391757,3.26953506116679,0.520473940112375,11.2762871477228,3.49706732160846,4.25938684093957,-3.50900057230036,10.5031352155173,135,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
6,5.40548227371715,3.03940013373781,0.406113939981719,10.4048506074526,1.1661134299012,3.96425448361979,-5.35450493563945,7.68673179544185,134,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
7,6.0294735351059,3.5029120152239,0.267696001972967,11.7912510682388,7.32492606644761,4.18739354046917,0.437276613933729,14.2125755189615,133,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
8,5.75935235310136,3.45567559450603,0.0752718179104264,11.4434328882923,7.32427978856541,4.64742661763563,-0.320056739443364,14.9686163165742,132,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
9,6.79094891927735,2.98870437758422,1.8749676839222,11.7069301546325,8.53839173012224,4.67602001638351,0.847023246476143,16.2297602137683,131,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
10,5.39754462474991,2.35330831780677,1.52669690287039,9.26839234662944,6.65011465022226,3.99088067667252,0.0857000944669224,13.2145292059776,130,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
11,4.55027031636609,1.64745599715257,1.84044634420672,7.26009428852546,4.83210483535616,2.77979394118617,0.259750689018358,9.40445898169396,129,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
12,3.93314234121487,2.11795544759053,0.449415641523969,7.41686904090578,1.45363872791704,2.47058330680162,-2.61010918496138,5.51738664079545,128,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_level_lp,World
0,-0.137974286569511,1.05510051993856,-1.87346020358884,1.59751163044981,0.250919095272054,1.71162763433138,-2.56445782704829,3.0662960175924,140,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
1,-0.725355856548658,1.71336279845108,-3.54358686986465,2.09287515676733,-0.32044125363943,1.61943409822373,-2.98417330371163,2.34329079643276,139,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
