variant,shock,outcome,horizon,beta,se,lb,ub,nobs
with_oil,GPA,Real_WTI,3,-0.240343328445403,1.33353442883568,-2.43381227038042,1.95312561348962,150
with_oil,GPA,Real_WTI,4,0.338702227031034,1.49896198742142,-2.12687083464147,2.80427528870354,149
with_oil,GPA,Real_WTI,5,2.4883187103645,1.58393268150806,-0.117018705660997,5.09365612639,148
with_oil,GPA,Real_WTI,6,1.23762926216841,1.53225028240379,-1.28269817224089,3.7579566965777,147
with_oil,GPA,Real_WTI,7,1.03719129307814,1.60656506439237,-1.60537308002117,3.67975566617746,146
with_oil,GPA,Real_WTI,8,2.18707255728105,1.85080553796121,-0.857231644616322,5.23137675917843,145
with_oil,GPA,Real_WTI,9,3.71145488431659,1.63186288832542,1.02727929376702,6.39563047486615,144
with_oil,GPA,Real_WTI,10,2.23612416087106,1.4282723349712,-0.113174769580771,4.58542309132289,143
with_oil,GPA,Real_WTI,11,3.28029320232277,1.64550372463815,0.573680432689558,5.98690597195599,142
with_oil,GPA,Real_WTI,12,3.74596199981503,2.10696456860035,0.280313687294503,7.21161031233556,141
with_oil,GPA,Real_Gasoline,0,-0.751649707155784,0.660909574835053,-1.83874921841018,0.335449804098608,153
with_oil,GPA,Real_Gasoline,1,-0.999405384486019,0.794784940730484,-2.30671027689297,0.307899507920929,152
with_oil,GPA,Real_Gasoline,2,-1.3024216301487,0.724808335110951,-2.49462524900061,-0.110218011296799,151
with_oil,GPA,Real_Gasoline,3,-1.02241384193523,0.759018995534232,-2.27088898966478,0.226061305794311,150
with_oil,GPA,Real_Gasoline,4,-0.650828211116282,0.788273029440144,-1.94742196261893,0.645765540386364,149
with_oil,GPA,Real_Gasoline,5,1.01441649663008,0.696965084473457,-0.131989050424624,2.16082204368479,148
with_oil,GPA,Real_Gasoline,6,0.72394632580975,1.02414035304677,-0.960614648406585,2.40850730002609,147
with_oil,GPA,Real_Gasoline,7,0.494194155916449,0.800305186606951,-0.82219073294207,1.81057904477497,146
with_oil,GPA,Real_Gasoline,8,1.12671234178028,0.969836443573055,-0.468526649980577,2.72195133354113,145
with_oil,GPA,Real_Gasoline,9,1.97261161627364,0.936585570540535,0.432065443619632,3.51315778892766,144
with_oil,GPA,Real_Gasoline,10,1.63245913392308,0.762395355131062,0.3784303688648,2.88648789898137,143
with_oil,GPA,Real_Gasoline,11,1.46019357711965,1.07009185772393,-0.299950896228786,3.22033805046809,142
with_oil,GPA,Real_Gasoline,12,1.84223346068818,1.10749774869493,0.020561771906733,3.66390514946964,141
with_oil,GPA,Headline_Pi,0,-0.0582209420288982,0.0356910078094987,-0.116927425673906,0.000485541616109093,150
with_oil,GPA,Headline_Pi,1,-0.0719225799477175,0.0545478054514554,-0.161645735586787,0.0178005756913521,149
with_oil,GPA,Headline_Pi,2,-0.112734556460834,0.0665271872104713,-0.222162041634858,-0.00330707128681118,148
with_oil,GPA,Headline_Pi,3,-0.126138470625737,0.0741492866893409,-0.248103193772564,-0.00417374747891044,147
with_oil,GPA,Headline_Pi,4,-0.121410485796572,0.087439951507098,-0.265236407173483,0.0224154355803393,146
with_oil,GPA,Headline_Pi,5,-0.0900612746658986,0.0940212003277605,-0.244712387035346,0.0645898377035493,145
with_oil,GPA,Headline_Pi,6,-0.169808401805466,0.102634092090886,-0.338626460430032,-0.000990343180899883,144
with_oil,GPA,Headline_Pi,7,-0.140088550656174,0.103858062145974,-0.310919860865132,0.0307427595527836,143
with_oil,GPA,Headline_Pi,8,-0.115288664061532,0.11605159113494,-0.306176544653327,0.0755992165302643,142
with_oil,GPA,Headline_Pi,9,-0.147679636614239,0.119444675604472,-0.344148644502297,0.0487893712738183,141
with_oil,GPA,Headline_Pi,10,-0.198809275504605,0.116418568596982,-0.390300780305849,-0.00731777070336026,140
with_oil,GPA,Headline_Pi,11,-0.162736439911384,0.121716280917542,-0.362941906037647,0.0374690262148792,139
with_oil,GPA,Headline_Pi,12,-0.105062726586302,0.117812940041179,-0.298847768314852,0.0887223151422479,138
with_oil,GPA,Core_Pi,0,0.00408354382733823,0.0153816281331658,-0.0212169829959184,0.0293840706505948,150
with_oil,GPA,Core_Pi,1,-0.0125718600613076,0.0229581225172369,-0.0503346111517809,0.0251908910291658,149
with_oil,GPA,Core_Pi,2,-0.0339210802908491,0.0329129426787774,-0.088058053429682,0.0202158928479838,148
with_oil,GPA,Core_Pi,3,-0.0333055272697547,0.0429733011261365,-0.103990317489158,0.0373792629496487,147
with_oil,GPA,Core_Pi,4,-0.066117165931743,0.0546212700618406,-0.155961160101657,0.0237268282381714,146
with_oil,GPA,Core_Pi,5,-0.0862124816422929,0.0628481264642281,-0.189588450404083,0.0171634871194974,145
with_oil,GPA,Core_Pi,6,-0.123568567213508,0.0709247226339089,-0.24022935447842,-0.0069077799485954,144
with_oil,GPA,Core_Pi,7,-0.126425594059827,0.0792793135793137,-0.256828460542984,0.00397727242333021,143
with_oil,GPA,Core_Pi,8,-0.137623992725851,0.0835477291851856,-0.275047778099663,-0.000200207352038601,142
with_oil,GPA,Core_Pi,9,-0.171810868533547,0.0872835887629846,-0.315379596083683,-0.0282421409834107,141
with_oil,GPA,Core_Pi,10,-0.178745441432403,0.0924557749314264,-0.330821658160969,-0.0266692247038374,140
with_oil,GPA,Core_Pi,11,-0.17645526818655,0.0960511063132065,-0.334445278778529,-0.0184652575945705,139
with_oil,GPA,Core_Pi,12,-0.165554861369775,0.0932637515872258,-0.318960081431125,-0.0121496413084259,138
with_oil,GPA,Indu_Prod,0,-0.000879810796356406,0.001326016130451,-0.00306091323792489,0.00130129164521208,150
with_oil,GPA,Indu_Prod,1,-0.00253560809240279,0.00140985636524832,-0.0048546154482621,-0.000216600736543466,149
with_oil,GPA,Indu_Prod,2,-0.00184074814200841,0.00212185976527255,-0.00533089687279937,0.00164940058878255,148
with_oil,GPA,Indu_Prod,3,0.000816919097652728,0.00247693045769724,-0.00325726894939715,0.00489110714470261,147
with_oil,GPA,Indu_Prod,4,-0.000357901298649106,0.00249715186825173,-0.00446535060619161,0.0037495480088934,146
with_oil,GPA,Indu_Prod,5,0.000528056401272751,0.0021523540865286,-0.00301225102443764,0.00406836382698314,145
with_oil,GPA,Indu_Prod,6,0.00126555858200428,0.00198221507021537,-0.00199489506563734,0.00452601222964591,144
with_oil,GPA,Indu_Prod,7,0.000118267994088347,0.00191505332584648,-0.00303171441473572,0.00326825040291242,143
with_oil,GPA,Indu_Prod,8,6.1364572159686e-05,0.00220885922011956,-0.00357188552747917,0.00369461467179854,142
with_oil,GPA,Indu_Prod,9,0.00145705969385211,0.00268448614635805,-0.00295852708048591,0.00587264646819013,141
with_oil,GPA,Indu_Prod,10,0.00168136376981193,0.00285095000769541,-0.00300803169060318,0.00637075923022705,140
with_oil,GPA,Indu_Prod,11,0.00125175915205422,0.00256966520266957,-0.00297496397660781,0.00547848228071625,139
with_oil,GPA,Indu_Prod,12,0.000472944929264545,0.00265187915712645,-0.00388900812057191,0.004834897979101,138
without_oil,World,Real_Brent,0,1.19213531054774,1.66601062911742,-1.54820831529575,3.93247893639123,150
without_oil,World,Real_Brent,1,1.02828580771501,2.05000784827751,-2.34367703680324,4.40024865223325,149
without_oil,World,Real_Brent,2,-0.142248311988785,1.65718050942423,-2.86806768342852,2.58357105945095,148
without_oil,World,Real_Brent,3,0.610540351643077,1.6357701244118,-2.08006207035453,3.30114277364068,147
without_oil,World,Real_Brent,4,1.34694890574756,1.74624848465532,-1.52537424779626,4.21927205929138,146
without_oil,World,Real_Brent,5,3.33521050613145,1.82699550537536,0.330070322690761,6.34035068957214,145
without_oil,World,Real_Brent,6,2.59786314209486,2.06887056683159,-0.805126113451234,6.00085239764095,144
without_oil,World,Real_Brent,7,4.05023204683169,2.16353021689825,0.491541522547495,7.60892257111589,143
without_oil,World,Real_Brent,8,3.73643776176857,2.10122783144884,0.280225542158573,7.19264998137857,142
without_oil,World,Real_Brent,9,4.25800981338034,2.00232685169092,0.964475229034213,7.55154439772647,141
without_oil,World,Real_Brent,10,3.06320809445101,1.77461129853552,0.144232263625806,5.98218392527621,140
without_oil,World,Real_Brent,11,3.08224483843347,1.96070036480502,-0.142820267981139,6.30730994484809,139
without_oil,World,Real_Brent,12,3.19730629099025,2.16758152334933,-0.368048039403901,6.7626606213844,138
without_oil,World,Real_WTI,0,0.980919098397593,1.4935828163489,-1.47580601422628,3.43764421102147,156
